Name,Title,Domain,Named For,Status,Authority Level,Reports To,Supervises,Depends On,Depended On By,Platform,Last Run,Last Error,Error Count (30d),Uptime %,Health Score,Spec Link
Xavier,Chief of Staff,Coordination,Charles Xavier (Professor X),Active,2 - Coordination,JD,All Domain Agents,"Notion API","All agents",Notion-Native,,,0,100,100,/specs/coordination/Xavier - Chief of Staff.md
Clare,Communications Officer,Coordination,Clare Boothe Luce,Active,2 - Coordination,JD,,"All agents, Xavier","JD, All agents",Notion-Native,,,0,100,100,/specs/coordination/Clare - Communications Officer.md
Aurelius,Keeper of the Charter,Coordination,Marcus Aurelius,Active,2 - Coordination,JD,,All agents,"JD, All agents",Notion-Native,,,0,100,100,/specs/coordination/Aurelius - Keeper of the Charter.md
Evelyn (EA),Executive Assistant,Personal,Evelyn Lincoln,Active,4 - Domain Agent,Xavier,,"Google Calendar, Gmail, Xavier","JD, Xavier, Clare",Hybrid,,,0,100,100,/specs/personal/Evelyn - Chief Gatekeeper.md
Evelyn (Memory),Memory Curator,Personal,Evelyn Lincoln,Active,4 - Domain Agent,Xavier,,"Notion Memory DBs, All agents","All agents, Iris",Notion-Native,,,0,100,100,/specs/personal/Evelyn - Memory Curator.md
Eleanor,Relationship Steward,Personal,Eleanor Roosevelt,Active,4 - Domain Agent,Xavier,,"Clay CRM, Xavier","Helena, Xavier, Clare",Hybrid,,,0,100,100,/specs/personal/Eleanor - Relationship Steward.md
Warren,Chief Financial Steward,Personal,Warren Buffett,Active,3 - Supervisor,Xavier,Hetty,"QuickBooks, Banking APIs, Xavier","Hetty, Xavier, Clare",Hybrid,,,0,100,100,/specs/personal/Warren - Chief Financial Steward.md
Hetty,Tax Strategist,Personal,Hetty Green,Active,4 - Domain Agent,Warren,,"Warren, QuickBooks","Warren, Xavier",Hybrid,,,0,100,100,/specs/personal/Hetty - Tax Strategist.md
Galen,Chief Health Officer,Personal,Galen of Pergamon,Active,4 - Domain Agent,Xavier,,"Oura Ring API, Xavier","JD, Xavier, Clare",Hybrid,,,0,100,100,/specs/personal/Galen - Chief Health Officer.md
Martha,Keeper of the Realm,Personal,Martha (Biblical) + Martha Stewart,Active,4 - Domain Agent,Xavier,,"Google Calendar (native), Xavier","JD, Xavier, Clare",Hybrid,,,0,100,100,/specs/personal/Martha - Keeper of the Realm.md
Marco,Chief Travel Officer,Personal,Marco Polo,Active,4 - Domain Agent,Xavier,,"Travel APIs, Loyalty programs, Xavier","JD, Evelyn (EA), Xavier",Hybrid,,,0,100,100,/specs/personal/Marco - Chief Travel Officer.md
Seneca,Chief Learning Officer,Personal,Seneca the Younger,Active,4 - Domain Agent,Xavier,,"Notion, Xavier","JD, Xavier, Clare",Notion-Native,,,0,100,100,/specs/personal/Seneca - Chief Learning Officer.md
Iris,Chief Knowledge Officer,Personal,Iris (Greek goddess),Active,4 - Domain Agent,Xavier,,"Notion, Evelyn (Memory), Xavier","All agents, Xavier",Notion-Native,,,0,100,100,/specs/personal/Iris - Chief Knowledge Officer.md
Helena,Business Development Manager,Haze Gray,Helena Rubinstein,Active,4 - Domain Agent,Xavier,,"LinkedIn API, Eleanor, Xavier","Cicero, Dale, Xavier",Hybrid,,,0,100,100,/specs/haze-gray/Helena - Business Development Manager.md
Cicero,Chief Persuasion Officer,Haze Gray,Marcus Tullius Cicero,Active,4 - Domain Agent,Xavier,,"Helena, Notion, Xavier","Hamilton, Xavier, Clare",Notion-Native,,,0,100,100,/specs/haze-gray/Cicero - Chief Persuasion Officer.md
Dale,Content Strategist,Haze Gray,Dale Carnegie,Active,4 - Domain Agent,Xavier,,"LinkedIn API, Xavier, Helena","Clare, Helena, Xavier",Hybrid,,,0,100,100,/specs/haze-gray/Dale - Content Strategist.md
Hamilton,Engagement Manager,Haze Gray,Alexander Hamilton,Active,4 - Domain Agent,Xavier,,"Cicero, Notion, Xavier","JD, Xavier, Clare",Notion-Native,,,0,100,100,/specs/haze-gray/Hamilton - Engagement Manager.md
Ada,Social Media Director,Puzzlehouse,Ada Lovelace,Active,4 - Domain Agent,Xavier,,"Social APIs, Franklin, Xavier","Franklin, Xavier, Clare",n8n-Primary,,,0,100,100,/specs/puzzlehouse/Ada - Social Media Director.md
Franklin,Store Operations Manager,Puzzlehouse,Benjamin Franklin,Active,3 - Supervisor,Xavier,Clara,"Shopify API, Xavier","Ada, Clara, Xavier, Clare",n8n-Primary,,,0,100,100,/specs/puzzlehouse/Franklin - Store Operations Manager.md
Clara,Customer Service Representative,Puzzlehouse,Clara Barton,Active,4 - Domain Agent,Franklin,,"Shopify API, Franklin","Franklin, Xavier",n8n-Primary,,,0,100,100,/specs/puzzlehouse/Clara - Customer Service Representative.md
